Nr,x,y,H,Kodi,Përshkrimi,Burimi
PK1,7513251.376,4695050.909,616.1364,11,Monoment,PM
4001,7513889.674,4698739.032,612.508,1,Guri,PM
4002,7513874.115,4698763.852,612.026,1,Guri,PM
4003,7513866.595,4698775.852,612.392,1,Guri,PM
4004,7513884.036,4698814.97,613.726,1,Guri,PM
4005,7513896.137,4698841.249,614.45,1,Guri,PM
4006,7513911.528,4698872.548,614.807,1,Guri,PM
4007,7513934.36,4698918.325,614.764,1,Guri,PM
4008,7513945.88,4698940.344,614.409,1,Guri,PM
4009,7513958.721,4698967.163,614.035,1,Guri,PM
4010,7513970.531,4698963.062,614.251,1,Guri,PM
4011,7513989.201,4698955.411,614.86,1,Guri,PM
4012,7513991.601,4698954.271,614.853,1,Guri,PM
4013,7513973.11,4698918.013,615.384,1,Guri,PM
4014,7513929.077,4698830.757,615.298,1,Guri,PM
4015,7513908.666,4698786.36,614.099,1,Guri,PM
4016,7513901.015,4698767.611,613.338,1,Guri,PM
1,7513877.201,4698758.929,611.955,1,Guri,PM
2,7513974.778,4698961.322,614.365,1,Guri,PM
3,7513869.154,4698771.769,611.944,1,Guri,PM
4,7513887.679,4698813.319,613.985,1,Guri,PM
5,7513891.768,4698822.198,614.315,1,Guri,PM
6,7513904.809,4698816.193,614.507,1,Guri,PM
7,7513899.749,4698839.53,614.627,1,Guri,PM
8,7513915.113,4698870.773,614.863,1,Guri,PM
9,7513915.927,4698872.406,614.881,1,Guri,PM
10,7513928.812,4698865.98,615.282,1,Guri,PM
11,7513937.922,4698916.505,614.856,1,Guri,PM
12,7513938.143,4698925.557,614.633,1,Guri,PM
13,7513941.752,4698923.825,614.757,1,Guri,PM
14,7513953.892,4698917.999,614.996,1,Guri,PM
